,label,tweet_id,tweet_text
0,other_useful_information,'592326564110585856',RT @divyaconnects: Reached #Kathmandu finally! Lots of Indians stranded at the airport #NepalQuake @BBCHindi http://t.co/fRpbU9aCKZ
4,other_useful_information,'592590231519555584',NepalÂs Slowing Economy Set for Freefall Without WorldÂs Help http://t.co/KSzIMVHGQf via @business
10,other_useful_information,'593470045814181888',Food crisis imminent for 1.4 million ppl in Kathmandu.  How long would you last without food in the markets and water from the tap?
11,other_useful_information,'593155728128516097',Canadian phone companies waive fees for calls to Nepal - The Globe and Mail http://t.co/y0fpu1EGIs
13,other_useful_information,'593609036144214016',"RT @XuscaSoleNY: https://t.co/o1RqfCCmKm don't believe earthquakes happen naturally, not from mother Nature, they're provoked, avoid other Â"
15,other_useful_information,'592341651512659968',RT @siobhanheanue: Kathmandu quake aftermath. Clearing rubble to search for survivors. http://t.co/oasYaNweiP
18,other_useful_information,'593719989972013056',@timesofindia whole world is watching great work of @RSS_Org in Nepal we are proud on RSS..
28,other_useful_information,'593186333348114434',"RT @BJPRajnathSingh: The NDRF, Indian Army and other forces are doing a remarkable job in Nepal."
35,other_useful_information,'593154950470848512',RT @TIME: See India's rescue operations in the villages most affected by Nepal's deadly earthquake http://t.co/Tcirp7hceR http://t.co/LCMDoÂ
36,other_useful_information,'592378631738949632',RT @BBCSanjoyM: And another - bit longer - tremor #NepalEarthquake
41,other_useful_information,'592655359115952128',@pinedaj87 Write to: NepalEmergencyUSC@state.gov  for questions on U.S. citizens affected #NepalQuake. Or call: 18884074747 or +12025014444
44,other_useful_information,'592343436650356736',RT @pappufromdelhi: @suhelseth PLZ RT Updated list of emergency contact after #NepalEarthquake http://t.co/nVky6fXHbO
45,other_useful_information,'592103300662624257',Why majority buildings in India weathered the impact of Nepal earthquake - The Economic Times on Mobile http://t.co/ekJemvAWJg
48,other_useful_information,'592137589601267713',Learn about #Mountain #Ecosystems #EarthQuake #Nepal 1Miin 42 Sec http://t.co/1LiJ7qg3QB
51,other_useful_information,'592235159044296704',Heartbreaking :( RT @rConflictNews: BREAKING: Reports of another avalanch at Mt. Everest after a fresh 6.7 earthquake in #Nepal.
53,other_useful_information,'591921491442278400',"@AnnyAwesome Video by Mountaineer Arjun Vajpai shows ""Landslide"" in Mount Everest after 7.9 Nepal Earthquake https://t.co/JS8h2k8iAT RT!"
58,other_useful_information,'591977415473242113',7.9 Earthquake  in India and Nepal http://t.co/Gyl1oLM6xP via @rashidfaridi
62,other_useful_information,'592164451404525569',Experts gathered in nepal a week ago and then the disaster happens....i bet they made sure their family members knew
71,other_useful_information,'591990088071979010',AXJ NEPAL : 7.9 MASSIVE EARTHQUAKE.
73,other_useful_information,'593466034495082496',RT @AnupKaphle: #Nepal police is arresting small store owners in Kathmandu who're inflating prices of daily goods. http://t.co/klES6SwoMM
80,other_useful_information,'597789995307413505',RT @raunakms: Tremors are decreasing ... #NepalQuake http://t.co/yDvaejcaYL
84,other_useful_information,'592336656658640896',RT @cnnbrk: Avalanches reported in Mount Everest region after powerful earthquake in Nepal. http://t.co/E8Fh03tnSi
97,other_useful_information,'592644197288644608',In pictures: Nepal earthquake aftermath http://t.co/WjD1jtbCP8 via @BBCHindi
112,other_useful_information,'593785051071942656',@IndiGo6E Still cant get thru to the customer care numbers :( #NepalQuakeRelief
121,other_useful_information,'593829038315143168',RT @UNICEF: A girl with safe drinking water at UNICEF-supported informal camp in Kathmandu. #NepalEarthquake. @unicef_nepal http://t.co/gLBÂ
